freq,items
0.42,11;3;170;24;17;?;?;?;?
0.4,182;29;25;24;147;7;?;?;?
0.5,56;29;147;?;?;?;?;?;?
0.45,57;18;170;17;?;?;?;?;?
0.41,11;56;57;3;145;24;?;?;?
0.41,57;145;22;170;147;7;143;?;?
0.4,182;5;145;170;147;143;?;?;?
0.4,182;145;22;147;143;?;?;?;?
0.4,11;56;17;18;170;24;147;?;?
0.4,182;11;56;57;3;22;170;?;?
0.79,182;29;170;?;?;?;?;?;?
0.41,182;56;145;22;18;170;24;147;?
0.45,56;29;69;?;?;?;?;?;?
0.72,182;29;5;145;?;?;?;?;?
0.42,11;29;17;81;?;?;?;?;?
0.42,11;29;17;3;?;?;?;?;?
0.45,11;29;69;3;170;?;?;?;?
0.41,11;57;3;7;?;?;?;?;?
0.43,56;145;170;147;7;143;?;?;?
0.41,11;56;57;7;143;?;?;?;?
0.54,29;145;18;24;147;?;?;?;?
0.44,182;25;26;81;?;?;?;?;?
0.42,182;56;69;57;5;22;?;?;?
0.52,11;57;3;145;170;?;?;?;?
0.52,11;5;7;?;?;?;?;?;?
0.64,182;56;5;145;170;147;?;?;?
0.53,11;29;5;145;147;?;?;?;?
0.41,63;22;24;17;?;?;?;?;?
0.45,11;56;63;22;24;147;?;?;?
0.64,22;18;170;?;?;?;?;?;?
0.54,56;29;25;18;?;?;?;?;?
0.46,11;29;25;17;22;170;147;?;?
0.45,11;29;3;22;170;24;147;?;?
0.43,57;145;22;147;17;?;?;?;?
0.44,69;24;7;143;?;?;?;?;?
0.47,11;56;69;28;?;?;?;?;?
0.4,11;69;57;3;18;147;?;?;?
0.74,182;56;3;22;170;?;?;?;?
0.47,11;29;145;17;?;?;?;?;?
0.64,182;56;5;145;18;147;?;?;?
0.45,56;69;22;143;?;?;?;?;?
0.46,5;24;147;7;?;?;?;?;?
0.51,182;11;5;18;147;?;?;?;?
0.57,182;56;5;145;18;170;24;?;?
0.47,170;147;17;?;?;?;?;?;?
0.41,182;56;3;18;24;7;?;?;?
0.66,182;25;24;?;?;?;?;?;?
0.45,11;56;145;12;?;?;?;?;?
0.43,25;63;145;?;?;?;?;?;?
0.43,182;11;5;145;170;24;147;?;?
0.42,56;57;145;170;7;143;?;?;?
0.56,182;69;145;22;170;24;147;?;?
0.63,29;145;170;147;?;?;?;?;?
0.45,11;145;17;143;?;?;?;?;?
0.42,3;145;22;7;?;?;?;?;?
0.42,182;57;5;145;18;24;147;?;?
0.63,182;29;170;24;?;?;?;?;?
0.65,56;3;17;?;?;?;?;?;?
0.45,29;5;145;88;?;?;?;?;?
0.46,29;63;94;81;?;?;?;?;?
0.57,182;29;57;145;22;170;?;?;?
0.47,17;18;7;?;?;?;?;?;?
0.44,11;57;18;147;17;?;?;?;?
0.46,56;145;22;24;7;?;?;?;?
0.44,57;22;170;7;143;?;?;?;?
0.51,69;5;22;24;?;?;?;?;?
0.43,182;29;145;28;?;?;?;?;?
0.4,29;63;24;17;143;?;?;?;?
0.86,182;69;145;?;?;?;?;?;?
0.4,56;145;22;170;147;17;143;?;?
0.51,29;57;145;22;170;24;?;?;?
0.54,182;56;69;3;24;?;?;?;?
0.45,11;5;145;7;143;?;?;?;?
0.4,11;69;5;22;18;147;?;?;?
0.49,182;56;3;145;22;170;24;?;?
0.45,182;11;22;170;24;147;?;?;?
0.47,11;5;3;22;24;?;?;?;?
0.57,182;56;57;5;170;?;?;?;?
0.41,11;29;17;24;7;?;?;?;?
0.41,11;22;170;24;143;?;?;?;?
0.42,56;57;22;24;147;7;?;?;?
0.49,69;26;81;?;?;?;?;?;?
